arm,ab_var,ucb_var,eps_var,ucb_inf_var,mix_prop_var
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.5430176837477246,0.002332755314635204
1.0,0.01164516430250035,0.2139554195678674,,0.0016871535466704219,0.2042052061780111
2.0,1.1538496543226524,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,1.6158459759966421,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.3547885803809547,,2.0663028657119913,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.3860516892463735,0.3741325256032445,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.5430176837477246,0.002332755314635204
1.0,0.02946565197710369,0.1806055824976309,,0.0016871535466704219,0.15392117122853627
2.0,1.1538496543226524,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,1.6158459759966421,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.3547885803809547,,1.417325969450533,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.902403104665009,0.3741325256032445,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.5430176837477246,0.002332755314635204
1.0,0.02946565197710369,0.1534093267412849,,0.0016871535466704219,0.1309099096768352
2.0,0.7695127184166443,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,0.26913351142758785,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,2.083973848034577,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.3547885803809547,,1.417325969450533,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.5430176837477246,0.002332755314635204
1.0,0.02946565197710369,0.1534093267412849,,0.14187058496328947,0.10914421815223767
2.0,0.7695127184166443,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,1.2204989399258628e-05,4.029577371438831,2.4132206733791217,0.0006017057378444432,1.3858632190802582
5.0,0.10148982259569407,0.30040523348606446,,1.417325969450533,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.5430176837477246,0.002332755314635204
1.0,0.02946565197710369,0.18534916861132875,,0.14187058496328947,0.11643059573693566
2.0,0.7695127184166443,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,4.029577371438831,2.275730642191246,0.23972662410147208,1.3858632190802582
5.0,0.10148982259569407,0.30040523348606446,,1.417325969450533,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.538339648565554,0.002332755314635204
1.0,0.02946565197710369,0.1660265324835043,,0.14187058496328947,0.11643059573693566
2.0,0.7695127184166443,0.0,0.0,0.03539224921488672,1.4431792181311391
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,4.029577371438831,2.291342421333964,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.30040523348606446,,1.417325969450533,0.003473515420138998
6.0,0.04320515641514812,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.538339648565554,0.002332755314635204
1.0,0.02946565197710369,0.1660265324835043,,0.14453273821624782,0.11137582166419105
2.0,0.7695127184166443,0.0,0.7196973678129199,0.03539224921488672,1.4431792181311391
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,3.998233081014596,2.291342421333964,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.30040523348606446,,1.417325969450533,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,0.04616031547119437,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.538339648565554,0.002332755314635204
1.0,0.02946565197710369,0.15083817618969084,,0.14453273821624782,0.10023306113755362
2.0,0.7695127184166443,0.0,0.7196973678129199,0.03539224921488672,1.4431792181311391
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,3.998233081014596,2.119335953027091,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.30040523348606446,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,1.1576375319802839,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.1266679306770883,0.0,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.02946565197710369,0.15083817618969084,,0.14453273821624782,0.10023306113755362
2.0,0.7695127184166443,0.0,0.7196973678129199,0.03539224921488672,2.1463455739949606
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,3.998233081014596,2.773555192872429,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.30040523348606446,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.1266679306770883,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.6216045778733107,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.02946565197710369,0.1374129375021505,,0.13036848445905477,0.09910877566299718
2.0,0.7695127184166443,0.0,0.7196973678129199,0.03539224921488672,2.1463455739949606
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,3.998233081014596,3.2946365610141988,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.30040523348606446,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,2.913616746725996
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.02946565197710369,0.1374129375021505,,0.1346657890887072,0.09910877566299718
2.0,0.7695127184166443,0.0,0.7196973678129199,0.03539224921488672,2.1463455739949606
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
