b_arm,ab_barm,mix_barm,eps_barm,ucb_barm,ab_var_barm,mix_var_barm,eps_var_barm,ucb_var_barm
3.0,0.0,3.0,3.0,3.0,2.9135856289144058,2.010120666199862,2.010120666199862,2.010120666199862
1.0,0.0,1.0,5.0,9.0,1.5810633806230956,1.4259519701482748,3.6658438578892776,1.13206243533847
7.0,9.0,7.0,7.0,7.0,1.5712257758477688,3.308863196864706,3.308863196864706,3.308863196864706
2.0,2.0,2.0,9.0,9.0,0.07829929449154782,0.07829929449154782,3.111683344683355,3.111683344683355
7.0,4.0,7.0,8.0,8.0,1.499730484320344,3.1400133172360007,4.831758583771526,4.831758583771526
5.0,0.0,5.0,7.0,7.0,2.0489241429862632,1.4042403187661112,3.3146320398065154,3.3146320398065154
9.0,9.0,9.0,4.0,0.0,4.867335760141687,4.867335760141687,0.5538807300297233,4.945716149025379
7.0,0.0,7.0,3.0,3.0,1.453849372135882,0.405746223465685,1.6591490704737921,1.6591490704737921
2.0,0.0,2.0,0.0,0.0,3.5160454264742516,2.74050032056921,3.5160454264742516,3.5160454264742516
6.0,0.0,6.0,5.0,5.0,3.2338287140700483,2.557695253781241,4.999088283861918,4.999088283861918
1.0,1.0,1.0,8.0,8.0,4.23345203005739,4.23345203005739,3.199638954377364,3.199638954377364
9.0,0.0,9.0,0.0,7.0,0.845635364584183,3.242034453079834,0.845635364584183,1.877902410915706
6.0,6.0,6.0,5.0,3.0,4.232803965590363,4.232803965590363,3.7866019719917525,4.3854492560563365
5.0,0.0,5.0,1.0,2.0,4.633380206532727,3.957854972266828,1.0611628488026796,4.3541301308050535
2.0,2.0,2.0,3.0,3.0,2.3686964555230388,2.3686964555230388,4.168879800681728,4.168879800681728
4.0,4.0,4.0,3.0,5.0,4.849433809062673,4.849433809062673,1.0293038040950309,1.2917695048315387
4.0,0.0,4.0,7.0,7.0,1.398734623066935,0.7984537127036945,1.5282850935733276,1.5282850935733276
