,chosen_arm,optimal,reward,cost
719,0,0,-1,1
720,0,0,-1,1
721,0,0,-1,1
722,1,0,-1,1
723,2,1,-1,1
724,1,0,-1,1
725,0,0,288,42
726,0,0,-1,1
727,0,1,0,0
728,0,0,-1,1
729,0,0,388,52
730,0,1,0,0
731,0,0,-1,1
732,0,0,-1,1
733,0,0,-1,1
734,0,0,-1,1
735,0,0,-1,1
736,0,1,0,0
737,1,1,-1,1
738,0,0,-1,1
739,0,0,-1,1
740,0,0,-1,1
741,0,1,0,0
742,0,0,-1,1
743,0,0,-1,1
744,0,0,-1,1
745,0,0,-1,1
746,0,1,0,0
747,2,1,-1,1
748,0,0,-1,1
749,0,0,-1,1
750,0,0,-1,1
751,0,0,-1,1
752,0,0,-1,1
753,0,1,0,0
754,0,0,-1,1
755,0,0,-1,1
756,0,0,-1,1
757,0,1,0,0
758,0,1,0,0
759,0,0,-1,1
760,0,0,-1,1
761,0,0,-1,1
762,0,1,389,51
763,1,0,0,0
764,0,1,0,0
765,1,1,-1,1
766,0,0,-1,1
767,1,0,-1,1
768,1,0,0,0
769,1,0,-1,1
770,1,1,-1,1
771,1,0,-1,1
772,1,0,0,0
773,0,0,-1,1
774,0,0,-1,1
775,0,0,-1,1
776,0,0,-1,1
777,0,0,-1,1
778,0,0,-1,1
779,1,0,-1,1
780,2,0,0,0
781,2,1,-1,1
782,1,1,-1,1
783,1,1,-1,1
784,0,0,-1,1
785,2,1,-1,1
786,0,0,-1,1
787,1,0,-1,1
788,0,0,-1,1
789,1,1,-1,1
790,1,0,0,0
791,0,0,-1,1
792,0,1,0,0
793,0,0,388,52
794,0,0,-1,1
795,0,0,-1,1
796,0,0,-1,1
797,0,0,-1,1
798,1,1,-1,1
799,0,0,-1,1
800,1,0,-1,1
801,0,1,0,0
802,0,0,-1,1
803,2,1,-1,1
804,0,0,-1,1
805,0,1,0,0
806,1,0,-1,1
807,2,1,-1,1
808,0,0,-1,1
809,0,0,-1,1
810,1,0,0,0
811,0,1,0,0
812,1,1,-1,1
813,0,0,-1,1
814,0,0,-1,1
815,0,0,-1,1
816,0,0,-1,1
817,0,1,0,0
818,0,0,-1,1
819,1,0,-1,1
820,0,0,-1,1
821,2,0,-1,1
822,1,0,0,0
823,1,0,-1,1
824,0,0,-1,1
825,2,0,0,0
826,1,0,-1,1
827,0,0,-1,1
828,1,1,-1,1
829,2,1,-1,1
