"weight_cat","male","married","edu_cat","bdonationvol","recency_in_month","formvoluntary","formgroup","formmutual","formplasma","formblood","age_cat_2","age_cat_0","resident_cat_0","resident_cat_1","resident_cat_3","occupation_cat_11","occupation_cat_7","occupation_cat_9","occupation_cat_3","occupation_cat_5","occupation_cat_4","occupation_cat_2","occupation_cat_1","occupation_cat_10","occupation_cat_6","firm_cost","firm_gain","test_group"
1,1,1,0,400,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,0,0,400,12,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,0,1,0,300,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1"
1,1,1,1,2400,7,7,0,0,0,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"1"
1,0,1,0,400,7,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"2"
1,0,1,0,300,26,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2"
1,1,1,1,300,7,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"1"
1,0,1,0,300,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
0,1,0,1,300,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,1,0,1,1300,9,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
1,1,0,1,1200,26,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,0,0,1,200,24,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
0,0,0,1,200,25,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,0,0,0,400,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,1,1,1,400,26,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,0,400,21,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"2"
0,1,0,1,400,21,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"1"
1,1,1,0,400,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"2"
0,0,0,1,500,13,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"2"
1,1,1,0,800,6,2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"2"
1,1,0,1,300,9,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
